,mean_fit_time,algorithm,leaf_size,neighbors,param_p,weights,mean_test_nmse,rank_test_nmse,mean_test_r2,rank_test_r2
0,0.0056172370910644535,ball_tree,20,15,1,uniform,-17.718912,1291,-0.0414573043267993,1251
1,0.005411815643310547,ball_tree,20,15,1,distance,-17.73703136001283,1391,-0.04264669530781924,1391
2,0.005351829528808594,ball_tree,20,15,2,uniform,-17.718880000000002,1281,-0.04145193991240883,1241
3,0.005521440505981445,ball_tree,20,15,2,distance,-17.731234106657432,1361,-0.04234048258874416,1371
4,0.020504474639892578,ball_tree,20,15,3,uniform,-17.679280000000002,1081,-0.03911466334955582,1011
5,0.020510482788085937,ball_tree,20,15,3,distance,-17.69100701691082,1141,-0.03997347460644027,1141
6,0.005421638488769531,ball_tree,20,16,1,uniform,-17.7315609375,1371,-0.04132718921547331,1211
7,0.005430269241333008,ball_tree,20,16,1,distance,-17.76169567066456,1421,-0.04356950125587802,1401
8,0.005332565307617188,ball_tree,20,16,2,uniform,-17.6764359375,1061,-0.039164469954703796,1021
9,0.005382251739501953,ball_tree,20,16,2,distance,-17.708049402593566,1221,-0.04139667196464215,1231
10,0.02028346061706543,ball_tree,20,16,3,uniform,-17.6952,1171,-0.03917387728637607,1041
11,0.020252132415771486,ball_tree,20,16,3,distance,-17.724315143399217,1321,-0.04130536053923035,1201
12,0.005360555648803711,ball_tree,20,17,1,uniform,-17.723995847750864,1311,-0.04169222958940235,1311
13,0.0053673267364501955,ball_tree,20,17,1,distance,-17.75535984338692,1401,-0.04382337977960486,1411
14,0.005340766906738281,ball_tree,20,17,2,uniform,-17.674268512110725,1021,-0.03974720229756517,1131
15,0.005335187911987305,ball_tree,20,17,2,distance,-17.701739656621246,1191,-0.04166611167351685,1301
16,0.02030973434448242,ball_tree,20,17,3,uniform,-17.690981314878893,1131,-0.03971809609684112,1121
17,0.020319080352783202,ball_tree,20,17,3,distance,-17.715903035310383,1271,-0.0415365247435433,1281
18,0.005443668365478516,ball_tree,20,18,1,uniform,-17.675225925925925,1041,-0.03963266639330873,1091
19,0.0054415702819824215,ball_tree,20,18,1,distance,-17.707687778544862,1211,-0.04187128887627369,1351
20,0.005366611480712891,ball_tree,20,18,2,uniform,-17.675783950617284,1051,-0.03965064875543463,1101
21,0.005366039276123047,ball_tree,20,18,2,distance,-17.70216436453945,1201,-0.04162007123686,1291
22,0.020248556137084962,ball_tree,20,18,3,uniform,-17.691628395061723,1151,-0.03962543122310906,1081
23,0.02027897834777832,ball_tree,20,18,3,distance,-17.71577108796889,1261,-0.04150836148739123,1271
24,0.0053975582122802734,ball_tree,20,19,1,uniform,-17.60119889196676,641,-0.03523196568089632,651
25,0.005392932891845703,ball_tree,20,19,1,distance,-17.648577880687128,911,-0.03846817492189749,951
26,0.0053008079528808595,ball_tree,20,19,2,uniform,-17.6072675900277,681,-0.03566847470946959,681
27,0.005387353897094727,ball_tree,20,19,2,distance,-17.643220257413912,901,-0.038233654882708426,921
28,0.020240640640258788,ball_tree,20,19,3,uniform,-17.575947922437674,561,-0.03381992694148544,561
29,0.020309305191040038,ball_tree,20,19,3,distance,-17.611038970297443,721,-0.0363542287991756,721
30,0.005455112457275391,ball_tree,20,20,1,uniform,-17.585168,591,-0.03427725473913181,581
31,0.005462455749511719,ball_tree,20,20,1,distance,-17.642672373886107,891,-0.0380616837547231,911
32,0.005391883850097656,ball_tree,20,20,2,uniform,-17.592384999999997,601,-0.03474561459463903,611
33,0.005387592315673828,ball_tree,20,20,2,distance,-17.638009325358308,881,-0.037863075473589976,891
34,0.020427417755126954,ball_tree,20,20,3,uniform,-17.562619,451,-0.03298876703089491,511
35,0.020246171951293947,ball_tree,20,20,3,distance,-17.607517593423424,691,-0.03608185024286903,701
36,0.0053043365478515625,ball_tree,20,21,1,uniform,-17.599049433106575,631,-0.03489528912165083,641
37,0.005327939987182617,ball_tree,20,21,1,distance,-17.655468328449043,981,-0.03876713916346621,981
38,0.005296659469604492,ball_tree,20,21,2,uniform,-17.60401723356009,671,-0.035263303715116746,661
39,0.005338430404663086,ball_tree,20,21,2,distance,-17.651399944104597,941,-0.038599190327971745,961
40,0.020261669158935548,ball_tree,20,21,3,uniform,-17.575748752834468,551,-0.033594842442245997,551
41,0.020397424697875977,ball_tree,20,21,3,distance,-17.62243199092922,781,-0.03690655949285455,821
42,0.0057964324951171875,ball_tree,20,22,1,uniform,-17.582871900826447,571,-0.03388884114459203,571
43,0.005392742156982422,ball_tree,20,22,1,distance,-17.65681704134617,991,-0.03879361546946213,991
44,0.005364418029785156,ball_tree,20,22,2,uniform,-17.596571900826444,621,-0.034778591045857656,631
45,0.00592198371887207,ball_tree,20,22,2,distance,-17.65326408118308,951,-0.03865213583874083,971
46,0.0211306095123291,ball_tree,20,22,3,uniform,-17.56949256198347,511,-0.03318031503757597,541
47,0.020388984680175783,ball_tree,20,22,3,distance,-17.625670798252415,821,-0.03703950933721685,841
48,0.005389785766601563,ball_tree,21,15,1,uniform,-17.718912,1291,-0.0414573043267993,1251
49,0.0053881645202636715,ball_tree,21,15,1,distance,-17.73703136001283,1391,-0.04264669530781924,1391
50,0.005313491821289063,ball_tree,21,15,2,uniform,-17.718880000000002,1281,-0.04145193991240883,1241
51,0.005774116516113282,ball_tree,21,15,2,distance,-17.731234106657432,1361,-0.04234048258874416,1371
52,0.020184993743896484,ball_tree,21,15,3,uniform,-17.679280000000002,1081,-0.03911466334955582,1011
53,0.02030496597290039,ball_tree,21,15,3,distance,-17.69100701691082,1141,-0.03997347460644027,1141
