,mean_fit_time,algorithm,leaf_size,neighbors,param_p,weights,mean_test_nmse,rank_test_nmse,mean_test_r2,rank_test_r2
0,0.004785919189453125,ball_tree,1,10,1,uniform,-17.882352,2852,-0.05105333942128815,2741
1,0.004670190811157227,ball_tree,1,10,1,distance,-17.941206045251434,3247,-0.05579857832068762,3365
2,0.004994630813598633,ball_tree,1,10,2,uniform,-17.895188,2945,-0.05173927354502856,2851
3,0.004499912261962891,ball_tree,1,10,2,distance,-17.97392509899257,3508,-0.0580269170061944,3564
4,0.017026710510253906,ball_tree,1,10,3,uniform,-17.895188,2945,-0.05173927354502856,2851
5,0.016868972778320314,ball_tree,1,10,3,distance,-17.97763505641359,3534,-0.058246742769703805,3569
6,0.004552602767944336,ball_tree,1,11,1,uniform,-17.881689256198346,2848,-0.05054657312525972,2640
7,0.004569149017333985,ball_tree,1,11,1,distance,-17.95367452182963,3372,-0.0558680068334894,3366
8,0.00444941520690918,ball_tree,1,11,2,uniform,-17.892297520661156,2915,-0.05111346083083026,2742
9,0.004461860656738282,ball_tree,1,11,2,distance,-17.98243362752688,3563,-0.057824527558619686,3552
10,0.017148303985595702,ball_tree,1,11,3,uniform,-17.892297520661156,2915,-0.05111346083083026,2742
11,0.017533349990844726,ball_tree,1,11,3,distance,-17.98573117134101,3578,-0.0580201466312996,3556
12,0.004529094696044922,ball_tree,1,12,1,uniform,-17.916352777777774,3094,-0.052294704826081874,2928
13,0.004552602767944336,ball_tree,1,12,1,distance,-17.99243134408589,3626,-0.057846398269361735,3553
14,0.004502773284912109,ball_tree,1,12,2,uniform,-17.92713333333333,3167,-0.05294281860333712,2953
15,0.004423332214355469,ball_tree,1,12,2,distance,-18.01640035226727,3668,-0.059489279109105904,3603
16,0.01708226203918457,ball_tree,1,12,3,uniform,-17.92713333333333,3167,-0.05294281860333712,2953
17,0.016743040084838866,ball_tree,1,12,3,distance,-18.01935974688524,3676,-0.05966501392671728,3604
18,0.0046142578125,ball_tree,1,13,1,uniform,-17.862575147928997,2627,-0.04903550464514529,2321
19,0.004539918899536133,ball_tree,1,13,1,distance,-17.953698803710893,3373,-0.05547132493561513,3316
20,0.004561758041381836,ball_tree,1,13,2,uniform,-17.87619881656805,2787,-0.04985229910257644,2489
21,0.0045888423919677734,ball_tree,1,13,2,distance,-17.97523854245389,3510,-0.05694585925548887,3444
22,0.016700077056884765,ball_tree,1,13,3,uniform,-17.87619881656805,2787,-0.04985229910257644,2489
23,0.016634082794189452,ball_tree,1,13,3,distance,-17.97791670653832,3535,-0.05710502615828608,3463
24,0.00516204833984375,ball_tree,1,14,1,uniform,-17.83429387755102,2247,-0.04744943973021635,2050
25,0.0047585487365722655,ball_tree,1,14,1,distance,-17.923890482208186,3140,-0.053764712181160766,3051
26,0.004538917541503906,ball_tree,1,14,2,uniform,-17.8494693877551,2452,-0.048370098615321176,2224
27,0.00455632209777832,ball_tree,1,14,2,distance,-17.943363526976498,3263,-0.055096151133744976,3245
28,0.016654157638549806,ball_tree,1,14,3,uniform,-17.8494693877551,2452,-0.048370098615321176,2224
29,0.01958179473876953,ball_tree,1,14,3,distance,-17.945805052396683,3291,-0.055241355253089444,3286
30,0.00455179214477539,ball_tree,1,15,1,uniform,-17.825603555555553,2183,-0.047195830867627644,2025
31,0.004557132720947266,ball_tree,1,15,1,distance,-17.90767681050938,3033,-0.052893413973443604,2952
32,0.004446840286254883,ball_tree,1,15,2,uniform,-17.841642666666665,2339,-0.04821320298012255,2188
33,0.004607105255126953,ball_tree,1,15,2,distance,-17.925307888628193,3150,-0.0541013613349178,3098
34,0.02081780433654785,ball_tree,1,15,3,uniform,-17.841642666666665,2339,-0.04821320298012255,2188
35,0.0169400691986084,ball_tree,1,15,3,distance,-17.927448869212704,3169,-0.05422829325916547,3099
36,0.00555887222290039,ball_tree,1,16,1,uniform,-17.82339375,2157,-0.04702361456455276,2000
37,0.004563379287719727,ball_tree,1,16,1,distance,-17.897971109953048,2954,-0.05239961196016116,2931
38,0.0044635295867919925,ball_tree,1,16,2,uniform,-17.833584375,2235,-0.047618961667147984,2067
39,0.0047496318817138675,ball_tree,1,16,2,distance,-17.913521637010476,3073,-0.05345938970525919,3023
40,0.01763625144958496,ball_tree,1,16,3,uniform,-17.833584375,2235,-0.047618961667147984,2067
41,0.017548894882202147,ball_tree,1,16,3,distance,-17.91549800309371,3088,-0.053576625839769375,3024
42,0.004661989212036133,ball_tree,1,17,1,uniform,-17.786134256055362,1887,-0.045203284561130895,1691
43,0.004807615280151367,ball_tree,1,17,1,distance,-17.867028671637165,2675,-0.0508193331410455,2716
44,0.004680204391479492,ball_tree,1,17,2,uniform,-17.81021314878893,2079,-0.04611013839947051,1878
45,0.004521036148071289,ball_tree,1,17,2,distance,-17.89592158859538,2947,-0.05236768399730512,2930
46,0.02337784767150879,ball_tree,1,17,3,uniform,-17.81021314878893,2079,-0.04611013839947051,1878
47,0.01863384246826172,ball_tree,1,17,3,distance,-17.897755289800433,2953,-0.052476511523339604,2933
48,0.004897880554199219,ball_tree,1,18,1,uniform,-17.7729,1744,-0.04442525807123392,1539
49,0.004741287231445313,ball_tree,1,18,1,distance,-17.853781798779814,2489,-0.05002244538489124,2537
50,0.0045279979705810545,ball_tree,1,18,2,uniform,-17.79913086419753,2006,-0.04549040516142005,1760
51,0.006211614608764649,ball_tree,1,18,2,distance,-17.881067373655046,2847,-0.05147412618413751,2816
52,0.018500614166259765,ball_tree,1,18,3,uniform,-17.79913086419753,2006,-0.04549040516142005,1760
53,0.017667627334594725,ball_tree,1,18,3,distance,-17.882776483422404,2853,-0.051575602784055034,2833
54,0.005352306365966797,ball_tree,1,19,1,uniform,-17.787288642659284,1920,-0.04547689675957116,1758
55,0.00465998649597168,ball_tree,1,19,1,distance,-17.857999940923413,2548,-0.05046969703537214,2632
56,0.004516315460205078,ball_tree,1,19,2,uniform,-17.811268698060942,2095,-0.04643609466943551,1935
57,0.004481315612792969,ball_tree,1,19,2,distance,-17.88385178140475,2855,-0.05183649491422658,2872
58,0.01673898696899414,ball_tree,1,19,3,uniform,-17.811268698060942,2095,-0.04643609466943551,1935
59,0.02046957015991211,ball_tree,1,19,3,distance,-17.885451656883408,2862,-0.051931520847433965,2873
60,0.004595756530761719,ball_tree,1,20,1,uniform,-17.778353,1811,-0.04482685426935658,1630
61,0.0046673774719238285,ball_tree,1,20,1,distance,-17.83715909999214,2272,-0.04920544246716001,2354
62,0.004548454284667968,ball_tree,1,20,2,uniform,-17.797075,2000,-0.045504950549147466,1764
63,0.0045604705810546875,ball_tree,1,20,2,distance,-17.865653103318504,2655,-0.05073091298171625,2682
64,0.01669912338256836,ball_tree,1,20,3,uniform,-17.797075,2000,-0.045504950549147466,1764
65,0.016619491577148437,ball_tree,1,20,3,distance,-17.867219756977658,2676,-0.05082401228126399,2717
66,0.00453495979309082,ball_tree,1,21,1,uniform,-17.761807709750567,1596,-0.04382059731074355,1451
67,0.00509185791015625,ball_tree,1,21,1,distance,-17.83093842242992,2210,-0.0488062241341734,2290
68,0.004507303237915039,ball_tree,1,21,2,uniform,-17.77202993197279,1734,-0.04449376797787638,1573
69,0.004569053649902344,ball_tree,1,21,2,distance,-17.84650575199919,2389,-0.05002180796361464,2536
70,0.017000198364257812,ball_tree,1,21,3,uniform,-17.77202993197279,1734,-0.04449376797787638,1573
